symbol,status,rows,output_file,error
PEPEUSDT,skipped_inactive,0,,symbol_not_active_usdt_perpetual
BONKUSDT,skipped_inactive,0,,symbol_not_active_usdt_perpetual
FLOKIUSDT,skipped_inactive,0,,symbol_not_active_usdt_perpetual
MKRUSDT,skipped_inactive,0,,symbol_not_active_usdt_perpetual
AIUSDT,skipped_inactive,0,,symbol_not_active_usdt_perpetual
OMUSDT,skipped_inactive,0,,symbol_not_active_usdt_perpetual
SOLUSDT,success,8640,data/research/binance_core88_missing_1month\SOLUSDT_1month_5m.csv,
XRPUSDT,success,8640,data/research/binance_core88_missing_1month\XRPUSDT_1month_5m.csv,
DOGEUSDT,success,8640,data/research/binance_core88_missing_1month\DOGEUSDT_1month_5m.csv,
LINKUSDT,success,8640,data/research/binance_core88_missing_1month\LINKUSDT_1month_5m.csv,
AVAXUSDT,success,8640,data/research/binance_core88_missing_1month\AVAXUSDT_1month_5m.csv,
JUPUSDT,success,8640,data/research/binance_core88_missing_1month\JUPUSDT_1month_5m.csv,
PYTHUSDT,success,8640,data/research/binance_core88_missing_1month\PYTHUSDT_1month_5m.csv,
PENDLEUSDT,success,8640,data/research/binance_core88_missing_1month\PENDLEUSDT_1month_5m.csv,
LDOUSDT,success,8640,data/research/binance_core88_missing_1month\LDOUSDT_1month_5m.csv,
ATOMUSDT,success,8640,data/research/binance_core88_missing_1month\ATOMUSDT_1month_5m.csv,
GALAUSDT,success,8640,data/research/binance_core88_missing_1month\GALAUSDT_1month_5m.csv,
SANDUSDT,success,8640,data/research/binance_core88_missing_1month\SANDUSDT_1month_5m.csv,
MANAUSDT,success,8640,data/research/binance_core88_missing_1month\MANAUSDT_1month_5m.csv,
ORDIUSDT,success,8640,data/research/binance_core88_missing_1month\ORDIUSDT_1month_5m.csv,
1000SATSUSDT,success,8640,data/research/binance_core88_missing_1month\1000SATSUSDT_1month_5m.csv,
RUNEUSDT,success,8640,data/research/binance_core88_missing_1month\RUNEUSDT_1month_5m.csv,
DYDXUSDT,success,8640,data/research/binance_core88_missing_1month\DYDXUSDT_1month_5m.csv,
TRBUSDT,success,8640,data/research/binance_core88_missing_1month\TRBUSDT_1month_5m.csv,
VETUSDT,success,8640,data/research/binance_core88_missing_1month\VETUSDT_1month_5m.csv,
ACEUSDT,success,8640,data/research/binance_core88_missing_1month\ACEUSDT_1month_5m.csv,
ARKMUSDT,success,8640,data/research/binance_core88_missing_1month\ARKMUSDT_1month_5m.csv,
ARKUSDT,success,8640,data/research/binance_core88_missing_1month\ARKUSDT_1month_5m.csv,
AXSUSDT,success,8640,data/research/binance_core88_missing_1month\AXSUSDT_1month_5m.csv,
BLURUSDT,success,8640,data/research/binance_core88_missing_1month\BLURUSDT_1month_5m.csv,
COMPUSDT,success,8640,data/research/binance_core88_missing_1month\COMPUSDT_1month_5m.csv,
COTIUSDT,success,8640,data/research/binance_core88_missing_1month\COTIUSDT_1month_5m.csv,
EGLDUSDT,success,8640,data/research/binance_core88_missing_1month\EGLDUSDT_1month_5m.csv,
ENSUSDT,success,8640,data/research/binance_core88_missing_1month\ENSUSDT_1month_5m.csv,
GMTUSDT,success,8640,data/research/binance_core88_missing_1month\GMTUSDT_1month_5m.csv,
GMXUSDT,success,8640,data/research/binance_core88_missing_1month\GMXUSDT_1month_5m.csv,
HIGHUSDT,success,8640,data/research/binance_core88_missing_1month\HIGHUSDT_1month_5m.csv,
IMXUSDT,success,8640,data/research/binance_core88_missing_1month\IMXUSDT_1month_5m.csv,
KAVAUSDT,success,8640,data/research/binance_core88_missing_1month\KAVAUSDT_1month_5m.csv,
KSMUSDT,success,8640,data/research/binance_core88_missing_1month\KSMUSDT_1month_5m.csv,
MASKUSDT,success,8640,data/research/binance_core88_missing_1month\MASKUSDT_1month_5m.csv,
MINAUSDT,success,8640,data/research/binance_core88_missing_1month\MINAUSDT_1month_5m.csv,
NOTUSDT,success,8640,data/research/binance_core88_missing_1month\NOTUSDT_1month_5m.csv,
QTUMUSDT,success,8640,data/research/binance_core88_missing_1month\QTUMUSDT_1month_5m.csv,
ROSEUSDT,success,8640,data/research/binance_core88_missing_1month\ROSEUSDT_1month_5m.csv,
SNXUSDT,success,8640,data/research/binance_core88_missing_1month\SNXUSDT_1month_5m.csv,
STXUSDT,success,8640,data/research/binance_core88_missing_1month\STXUSDT_1month_5m.csv,
SUSHIUSDT,success,8640,data/research/binance_core88_missing_1month\SUSHIUSDT_1month_5m.csv,
WOOUSDT,success,8640,data/research/binance_core88_missing_1month\WOOUSDT_1month_5m.csv,
XAIUSDT,success,8640,data/research/binance_core88_missing_1month\XAIUSDT_1month_5m.csv,
YFIUSDT,success,8640,data/research/binance_core88_missing_1month\YFIUSDT_1month_5m.csv,
