symbol,dataset,interval,path,rows,first_timestamp,last_timestamp,missing_rows,duplicate_timestamps,unavailable_fields,status,notes
SOLUSDT,futures_klines,1h,data\research\binance_5_token_1month\SOLUSDT_futures_klines_1h.csv,744,2026-05-06T00:00:00Z,2026-06-05T23:00:00Z,0,0,,ok,
SOLUSDT,futures_klines,4h,data\research\binance_5_token_1month\SOLUSDT_futures_klines_4h.csv,186,2026-05-06T00:00:00Z,2026-06-05T20:00:00Z,0,0,,ok,
SOLUSDT,funding_rate_history,8h,data\research\binance_5_token_1month\SOLUSDT_funding_rate_history.csv,93,2026-05-06T00:00:00.010000Z,2026-06-05T16:00:00.009000Z,0,0,,ok,
SOLUSDT,open_interest_statistics,1h,data\research\binance_5_token_1month\SOLUSDT_open_interest_statistics_1h.csv,723,2026-05-06T21:00:00Z,2026-06-05T23:00:00Z,21,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
SOLUSDT,open_interest_statistics,4h,data\research\binance_5_token_1month\SOLUSDT_open_interest_statistics_4h.csv,180,2026-05-07T00:00:00Z,2026-06-05T20:00:00Z,6,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
SOLUSDT,top_trader_account_ratio,1h,data\research\binance_5_token_1month\SOLUSDT_top_trader_account_ratio_1h.csv,723,2026-05-06T21:00:00Z,2026-06-05T23:00:00Z,21,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
SOLUSDT,top_trader_account_ratio,4h,data\research\binance_5_token_1month\SOLUSDT_top_trader_account_ratio_4h.csv,180,2026-05-07T00:00:00Z,2026-06-05T20:00:00Z,6,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
SOLUSDT,top_trader_position_ratio,1h,data\research\binance_5_token_1month\SOLUSDT_top_trader_position_ratio_1h.csv,723,2026-05-06T21:00:00Z,2026-06-05T23:00:00Z,21,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
SOLUSDT,top_trader_position_ratio,4h,data\research\binance_5_token_1month\SOLUSDT_top_trader_position_ratio_4h.csv,180,2026-05-07T00:00:00Z,2026-06-05T20:00:00Z,6,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
SOLUSDT,open_interest_snapshot,current,data\research\binance_5_token_1month\SOLUSDT_open_interest_snapshot.csv,1,2026-06-06T20:56:20.924000Z,2026-06-06T20:56:20.924000Z,n/a,0,,ok,
XRPUSDT,futures_klines,1h,data\research\binance_5_token_1month\XRPUSDT_futures_klines_1h.csv,744,2026-05-06T00:00:00Z,2026-06-05T23:00:00Z,0,0,,ok,
XRPUSDT,futures_klines,4h,data\research\binance_5_token_1month\XRPUSDT_futures_klines_4h.csv,186,2026-05-06T00:00:00Z,2026-06-05T20:00:00Z,0,0,,ok,
XRPUSDT,funding_rate_history,8h,data\research\binance_5_token_1month\XRPUSDT_funding_rate_history.csv,93,2026-05-06T00:00:00.010000Z,2026-06-05T16:00:00.009000Z,0,0,,ok,
XRPUSDT,open_interest_statistics,1h,data\research\binance_5_token_1month\XRPUSDT_open_interest_statistics_1h.csv,723,2026-05-06T21:00:00Z,2026-06-05T23:00:00Z,21,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
XRPUSDT,open_interest_statistics,4h,data\research\binance_5_token_1month\XRPUSDT_open_interest_statistics_4h.csv,180,2026-05-07T00:00:00Z,2026-06-05T20:00:00Z,6,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
XRPUSDT,top_trader_account_ratio,1h,data\research\binance_5_token_1month\XRPUSDT_top_trader_account_ratio_1h.csv,723,2026-05-06T21:00:00Z,2026-06-05T23:00:00Z,21,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
XRPUSDT,top_trader_account_ratio,4h,data\research\binance_5_token_1month\XRPUSDT_top_trader_account_ratio_4h.csv,180,2026-05-07T00:00:00Z,2026-06-05T20:00:00Z,6,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
XRPUSDT,top_trader_position_ratio,1h,data\research\binance_5_token_1month\XRPUSDT_top_trader_position_ratio_1h.csv,723,2026-05-06T21:00:00Z,2026-06-05T23:00:00Z,21,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
XRPUSDT,top_trader_position_ratio,4h,data\research\binance_5_token_1month\XRPUSDT_top_trader_position_ratio_4h.csv,180,2026-05-07T00:00:00Z,2026-06-05T20:00:00Z,6,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
XRPUSDT,open_interest_snapshot,current,data\research\binance_5_token_1month\XRPUSDT_open_interest_snapshot.csv,1,2026-06-06T20:56:24.846000Z,2026-06-06T20:56:24.846000Z,n/a,0,,ok,
DOGEUSDT,futures_klines,1h,data\research\binance_5_token_1month\DOGEUSDT_futures_klines_1h.csv,744,2026-05-06T00:00:00Z,2026-06-05T23:00:00Z,0,0,,ok,
DOGEUSDT,futures_klines,4h,data\research\binance_5_token_1month\DOGEUSDT_futures_klines_4h.csv,186,2026-05-06T00:00:00Z,2026-06-05T20:00:00Z,0,0,,ok,
DOGEUSDT,funding_rate_history,8h,data\research\binance_5_token_1month\DOGEUSDT_funding_rate_history.csv,93,2026-05-06T00:00:00.010000Z,2026-06-05T16:00:00.009000Z,0,0,,ok,
DOGEUSDT,open_interest_statistics,1h,data\research\binance_5_token_1month\DOGEUSDT_open_interest_statistics_1h.csv,723,2026-05-06T21:00:00Z,2026-06-05T23:00:00Z,21,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
DOGEUSDT,open_interest_statistics,4h,data\research\binance_5_token_1month\DOGEUSDT_open_interest_statistics_4h.csv,180,2026-05-07T00:00:00Z,2026-06-05T20:00:00Z,6,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
DOGEUSDT,top_trader_account_ratio,1h,data\research\binance_5_token_1month\DOGEUSDT_top_trader_account_ratio_1h.csv,723,2026-05-06T21:00:00Z,2026-06-05T23:00:00Z,21,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
DOGEUSDT,top_trader_account_ratio,4h,data\research\binance_5_token_1month\DOGEUSDT_top_trader_account_ratio_4h.csv,180,2026-05-07T00:00:00Z,2026-06-05T20:00:00Z,6,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
DOGEUSDT,top_trader_position_ratio,1h,data\research\binance_5_token_1month\DOGEUSDT_top_trader_position_ratio_1h.csv,723,2026-05-06T21:00:00Z,2026-06-05T23:00:00Z,21,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
DOGEUSDT,top_trader_position_ratio,4h,data\research\binance_5_token_1month\DOGEUSDT_top_trader_position_ratio_4h.csv,180,2026-05-07T00:00:00Z,2026-06-05T20:00:00Z,6,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
DOGEUSDT,open_interest_snapshot,current,data\research\binance_5_token_1month\DOGEUSDT_open_interest_snapshot.csv,1,2026-06-06T20:56:24.907000Z,2026-06-06T20:56:24.907000Z,n/a,0,,ok,
LINKUSDT,futures_klines,1h,data\research\binance_5_token_1month\LINKUSDT_futures_klines_1h.csv,744,2026-05-06T00:00:00Z,2026-06-05T23:00:00Z,0,0,,ok,
LINKUSDT,futures_klines,4h,data\research\binance_5_token_1month\LINKUSDT_futures_klines_4h.csv,186,2026-05-06T00:00:00Z,2026-06-05T20:00:00Z,0,0,,ok,
LINKUSDT,funding_rate_history,8h,data\research\binance_5_token_1month\LINKUSDT_funding_rate_history.csv,93,2026-05-06T00:00:00.010000Z,2026-06-05T16:00:00.009000Z,0,0,,ok,
LINKUSDT,open_interest_statistics,1h,data\research\binance_5_token_1month\LINKUSDT_open_interest_statistics_1h.csv,723,2026-05-06T21:00:00Z,2026-06-05T23:00:00Z,21,0,,ok,retried without startTime because Binance rejected requested 31-day startTime
